Nr miesiaca;Liczba bledow;Sumaryczne bledy
1;1;1
2;0;1
3;0;1
4;0;1
5;0;1
6;0;1
7;0;1
8;0;1
9;0;1
10;0;1
11;0;1
12;0;1
13;0;1
14;0;1
15;0;1
16;0;1
17;0;1
18;0;1
19;0;1
20;1;2
21;9;11
22;0;11
23;0;11
24;3;14
25;1;15
26;1;16
27;0;16
28;1;17
29;0;17
30;2;19
31;10;29
32;0;29
33;16;45
34;0;45
35;2;47
36;2;49
37;1;50
38;1;51
39;1;52
40;0;52
41;3;55
42;2;57
43;1;58
44;6;64
45;3;67
46;0;67
47;1;68
48;1;69
49;0;69
50;0;69
51;14;83
52;1;84
53;4;88
54;1;89
55;1;90
56;7;97
57;14;111
58;6;117
59;0;117
60;1;118
61;2;120
62;19;139
63;7;146
64;2;148
65;5;153
66;1;154
67;12;166
68;4;170
69;6;176
70;4;180
71;7;187
72;2;189
73;2;191
74;3;194
75;8;202
76;4;206
77;6;212
78;3;215
79;3;218
80;5;223
81;8;231
82;0;231
83;6;237
84;5;242
85;10;252
86;0;252
87;5;257
88;1;258
89;2;260
90;1;261
91;2;263
92;1;264
93;0;264
